Source,Target,Weight
0,1,1.0
0,5,0.7071067811865475
0,203,0.7071067811865475
0,207,1.0
0,208,0.7071067811865475
1,2,1.0
1,5,1.0
1,6,0.7071067811865475
1,19,0.7071067811865475
1,204,0.7071067811865475
1,207,0.7071067811865475
1,208,1.0
1,209,0.7071067811865475
1,212,0.7071067811865475
2,3,1.0
2,5,0.7071067811865475
2,6,1.0
2,7,0.7071067811865475
2,20,0.7071067811865475
2,205,0.7071067811865475
2,208,0.7071067811865475
2,209,1.0
2,210,0.7071067811865475
2,213,0.7071067811865475
3,4,1.0
3,6,0.7071067811865475
3,7,1.0
3,8,0.7071067811865475
3,21,0.7071067811865475
3,206,0.7071067811865475
3,209,0.7071067811865475
3,210,1.0
3,211,0.7071067811865475
3,214,0.7071067811865475
4,7,0.7071067811865475
4,8,1.0
4,9,0.7071067811865475
4,22,0.7071067811865475
4,129,0.7071067811865475
4,130,1.0
4,146,0.7071067811865475
4,210,0.7071067811865475
4,211,1.0
4,215,0.7071067811865475
5,6,1.0
5,10,0.7071067811865475
5,19,1.0
5,20,0.7071067811865475
5,208,0.7071067811865475
5,212,1.0
5,213,0.7071067811865475
6,7,1.0
6,10,1.0
6,11,0.7071067811865475
6,19,0.7071067811865475
6,20,1.0
6,21,0.7071067811865475
6,24,0.7071067811865475
6,209,0.7071067811865475
6,212,0.7071067811865475
6,213,1.0
6,214,0.7071067811865475
6,216,0.7071067811865475
7,8,1.0
7,10,0.7071067811865475
7,11,1.0
7,12,0.7071067811865475
7,20,0.7071067811865475
7,21,1.0
7,22,0.7071067811865475
7,25,0.7071067811865475
7,210,0.7071067811865475
7,213,0.7071067811865475
7,214,1.0
7,215,0.7071067811865475
7,217,0.7071067811865475
8,9,1.0
8,11,0.7071067811865475
8,12,1.0
8,13,0.7071067811865475
8,21,0.7071067811865475
8,22,1.0
8,23,0.7071067811865475
8,26,0.7071067811865475
8,130,0.7071067811865475
8,147,0.7071067811865475
8,211,0.7071067811865475
8,214,0.7071067811865475
8,215,1.0
8,218,0.7071067811865475
9,12,0.7071067811865475
9,13,1.0
9,22,0.7071067811865475
9,23,1.0
9,27,0.7071067811865475
9,74,0.7071067811865475
9,130,1.0
9,146,0.7071067811865475
9,147,1.0
9,148,0.7071067811865475
9,149,1.0
9,150,0.7071067811865475
9,151,0.7071067811865475
9,164,0.7071067811865475
9,215,0.7071067811865475
10,11,1.0
10,14,0.7071067811865475
10,20,0.7071067811865475
10,24,1.0
10,25,0.7071067811865475
10,213,0.7071067811865475
10,216,1.0
10,217,0.7071067811865475
11,12,1.0
11,14,1.0
11,15,0.7071067811865475
11,21,0.7071067811865475
11,24,0.7071067811865475
11,25,1.0
11,26,0.7071067811865475
11,29,0.7071067811865475
11,214,0.7071067811865475
11,216,0.7071067811865475
11,217,1.0
11,218,0.7071067811865475
11,219,0.7071067811865475
12,13,1.0
12,14,0.7071067811865475
12,15,1.0
12,16,0.7071067811865475
12,22,0.7071067811865475
12,25,0.7071067811865475
12,26,1.0
12,27,0.7071067811865475
12,30,0.7071067811865475
12,74,0.7071067811865475
12,85,0.7071067811865475
12,215,0.7071067811865475
12,217,0.7071067811865475
12,218,1.0
13,15,0.7071067811865475
13,16,1.0
13,17,0.7071067811865475
13,23,0.7071067811865475
13,26,0.7071067811865475
13,27,1.0
13,28,0.7071067811865475
13,31,0.7071067811865475
13,74,1.0
13,89,0.7071067811865475
13,147,0.7071067811865475
13,149,0.7071067811865475
13,150,1.0
13,165,0.7071067811865475
13,218,0.7071067811865475
14,15,1.0
14,18,0.7071067811865475
14,25,0.7071067811865475
14,29,1.0
14,30,0.7071067811865475
14,85,0.7071067811865475
14,217,0.7071067811865475
14,219,1.0
15,16,1.0
15,18,1.0
15,26,0.7071067811865475
15,29,0.7071067811865475
15,30,1.0
15,31,0.7071067811865475
15,33,0.7071067811865475
15,85,1.0
15,89,0.7071067811865475
15,98,0.7071067811865475
15,99,0.7071067811865475
15,218,0.7071067811865475
15,219,0.7071067811865475
16,17,1.0
16,18,0.7071067811865475
16,27,0.7071067811865475
16,30,0.7071067811865475
16,31,1.0
16,32,0.7071067811865475
16,34,0.7071067811865475
16,74,0.7071067811865475
16,85,0.7071067811865475
16,89,1.0
16,92,0.7071067811865475
16,99,1.0
16,103,0.7071067811865475
16,104,0.7071067811865475
16,150,0.7071067811865475
17,28,0.7071067811865475
17,31,0.7071067811865475
17,32,1.0
17,35,0.7071067811865475
17,89,0.7071067811865475
17,92,1.0
17,99,0.7071067811865475
17,104,1.0
17,107,0.7071067811865475
17,108,0.7071067811865475
17,150,1.0
17,165,0.7071067811865475
17,168,0.7071067811865475
17,169,1.0
17,172,0.7071067811865475
17,183,0.7071067811865475
18,30,0.7071067811865475
18,33,1.0
18,34,0.7071067811865475
18,85,0.7071067811865475
18,98,1.0
18,99,1.0
18,103,0.7071067811865475
18,112,0.7071067811865475
19,20,1.0
19,24,0.7071067811865475
20,21,1.0
