Name,Image,Sound,Degrees,Intervals,# of pitch classes,Lower tetrachord,Upper tetrachord,Use of key signature usual or unusual
15 equal temperament,15-tet scale on C.,Play (help·info),—,,15,—,—,—
16 equal temperament,16-tet scale on C.,Play (help·info),—,,16,—,—,—
17 equal temperament,17-tet scale on C.,Play (help·info),—,,17,—,—,—
19 equal temperament,19-tet scale on C.,Play (help·info),—,,19,—,—,—
21 equal temperament,21-tet scale on C.,Play (help·info),—,,21,—,—,—
Acoustic scale,Acoustic scale on C.,Play (help·info),1 2 3 ♯4 5 6 ♭7,W-W-W-H-W-H-W,7,whole tone,minor,
Aeolian mode or natural minor scale,Aeolian on C.,Play (help·info),1 2 ♭3 4 5 ♭6 ♭7,W-H-W-W-H-W-W,7,minor,Phrygian,Usual
Algerian scale,Algerian scale on C.,Play (help·info),1 2 ♭3  ♯4 5 ♭6 7 etc.,W-H-3H-H-H-3H-H-W-H-W,variable,—,—,
Alpha scale,—,Play (help·info),—,,15.39,—,—,—
Altered scale,Altered scale on C.,Play (help·info),1 ♭2 ♭3 ♭4 ♭5 ♭6 ♭7,H-W-H-W-W-W-W,7,diminished,whole tone,
Augmented scale,Augmented scale on C.,Play (help·info),1 ♭3 3 5 ♯5 7,3H-H-3H-H-3H-H,6,—,—,
Bebop dominant scale,Bebop dominant scale on C.,Play (help·info),1 2 3 4 5 6 ♭7 7,,8,—,—,
Beta scale,—,Play (help·info),—,,18.75,—,—,—
Blues scale,Blues scale on C.,Play (help·info),1 ♭3 4 ♭5 5 ♭7,3H-W-H-H-3H-W,6,—,—,
Bohlen–Pierce scale,—,Play (help·info),—,,—,—,—,—
Chromatic scale,Chromatic scale on C.,Play (help·info),1 ♯1 2 ♯2 3 4 ♯4 5 ♯5 6 ♯6 77 ♭7 6 ♭6 5 ♭5 4 3 ♭3 2 ♭2 1,,12,—,—,—
Delta scale,—,Play (help·info),—,,85.7,—,—,—
Dorian mode,Dorian on C.,Play (help·info),1 2 ♭3 4 5 6 ♭7,,7,minor,minor,Usual
Double harmonic scale,Double harmonic scale on C.,Play (help·info),1 ♭2 3 4 5 ♭6 7,,7,harmonic,harmonic,Unusual
Enigmatic scale,Enigmatic scale on C.,Play (help·info),1 ♭2 3 ♯4 ♯5 ♯6 7,,7,,,Unusual
Euler–Fokker genus,Euler-Fokker genus 337 on C.,Play (help·info),—,,6,—,—,—
Flamenco mode,Flamenco mode on C.,Play (help·info),1 ♭2 3 4 5 ♭6 7,,7,Phrygian,Phrygian,Unusual
Gamma scale,—,Play (help·info),—,,34.29,—,—,—
"""Gypsy"" scale[a]","""Gypsy"" [sic] scale on C.",Play (help·info),1 2 ♭3 ♯4 5 ♭6 ♭7,,7,Gypsy,Phrygian,Unusual
Half diminished scale,Half diminished scale on C.,Play (help·info),1 2 ♭3 4 ♭5 ♭6 ♭7,W-H-W-H-W-W-W,7,minor,whole tone,
Harmonic major scale,Harmonic major scale on C.,Play (help·info),1 2 3 4 5 ♭6 7,W-W-H-W-H-3H-H,7,major,harmonic,
Harmonic minor scale,Harmonic minor scale on C.,Play (help·info),1 2 ♭3 4 5 ♭6 (♮)7,W-H-W-W-H-3H-H,7,minor,harmonic,
Harmonic Scale,Harmonic scale chromatic on C.,Play (help·info),—,,144,—,—,—
Hexany,—,—,—,,—,—,—,—
